# txschools.net — unofficial. Not operated by, endorsed by, or affiliated with the Texas Education Agency.
# source: Texas Education Agency, published publicly at https://txschools.gov
# snapshot: 15 August 2026 — the date this site fetched TEA's data. TEA may have revised it since.
# dataset: ranking board
# page: https://txschools.net/rankings/dallas-county-districts/overall-score-lowest
# rows: 14 (excluding this header and the column row)
# ranking: Dallas County school districts with the lowest overall score in 2025-26
# population: 14 districts of 14 districts are ranked here.
# rank_of is how many rows were actually ranked (can be smaller than the population above); two rows on the same value share a rank ("tied"), and the next rank is skipped.
# empty cell = TEA did not publish that figure. It does not mean zero.
# numbers are unformatted: no thousands separators, no currency symbols, no percent signs.
# lines starting with # are comments — pandas: read_csv(path, comment='#')
rank,rank_of,tied,entity_id,name,county,rating,value,enrollment,url
1,14,0,057906,Desoto ISD,Dallas,C,71,5564,https://txschools.net/district/desoto-isd-057906
2,14,1,057904,Cedar Hill ISD,Dallas,C,72,5876,https://txschools.net/district/cedar-hill-isd-057904
2,14,1,057907,Duncanville ISD,Dallas,C,72,10988,https://txschools.net/district/duncanville-isd-057907
4,14,0,057912,Irving ISD,Dallas,C,78,29182,https://txschools.net/district/irving-isd-057912
5,14,2,057910,Grand Prairie ISD,Dallas,B,80,25445,https://txschools.net/district/grand-prairie-isd-057910
5,14,2,057913,Lancaster ISD,Dallas,B,80,6431,https://txschools.net/district/lancaster-isd-057913
5,14,2,057914,Mesquite ISD,Dallas,B,80,36585,https://txschools.net/district/mesquite-isd-057914
8,14,0,057903,Carrollton-Farmers Branch ISD,Dallas,B,81,22831,https://txschools.net/district/carrollton-farmers-branch-isd-057903
9,14,0,057916,Richardson ISD,Dallas,B,83,36142,https://txschools.net/district/richardson-isd-057916
10,14,0,057905,Dallas ISD,Dallas,B,85,134302,https://txschools.net/district/dallas-isd-057905
11,14,0,057909,Garland ISD,Dallas,B,86,49060,https://txschools.net/district/garland-isd-057909
12,14,0,057922,Coppell ISD,Dallas,A,93,13047,https://txschools.net/district/coppell-isd-057922
13,14,0,057919,Sunnyvale ISD,Dallas,A,94,2313,https://txschools.net/district/sunnyvale-isd-057919
14,14,0,057911,Highland Park ISD,Dallas,A,95,6215,https://txschools.net/district/highland-park-isd-057911
